sample_idx,marginal_diff
1,-326.0222846881147
2,-80.55410421696183
3,-309.63439993014026
4,-209.24921088103883
5,-187.9570296453719
6,-128.79602746657088
7,-66.70656377343312
8,-124.38885703605729
9,-33.51952454263119
10,-73.07725770163415
11,-49.724127128791224
12,-279.82536849859775
13,-91.70762674195976
14,-46.78445494429434
15,-154.3366019728353
16,-37.35948876987959
17,-66.90922117189893
18,-108.37188702687308
19,-117.47986564712846
20,-53.69382270147503
21,-268.3739063031164
22,-112.14588992600102
23,-253.71419358604908
24,-114.8961334085568
25,-24.932093382461062
26,-150.6063244509735
27,-87.34302624335896
28,-88.73824178948985
29,-120.42877184694498
30,-139.43563526464368
31,-218.4939506089254
32,-172.58644262239432
33,-99.06451312934064
34,-175.13440613625585
35,-140.3008929982973
36,-108.19352056875687
37,-173.17948752214852
38,-72.23270661306924
39,-40.472850808928115
40,-180.45457133351442
41,-215.98565833977364
42,-114.75523582484902
43,-193.7389838778156
44,-270.4432496773884
45,-301.5344782989232
46,-123.08927961074937
47,-17.529304650096037
48,-74.9872036464842
49,-38.742483976936455
50,-102.03568427872779
51,-41.759568954569204
52,-147.80412114004503
53,-52.82806497709521
54,-58.79655877130381
55,-389.06364642647713
56,-144.766882194019
57,-46.10537140970109
58,-17.0549206558685
59,-139.58062533643488
60,-148.5719323833107
61,-140.40107690028935
62,-48.35174185887922
63,-188.94904873099836
64,-84.83274761786265
65,-13.94251268013818
66,-196.78645943018523
67,-193.36967244133666
68,-159.48470183675272
69,-123.49390449005182
70,-189.38212121283686
71,-227.2588338093924
72,-71.64758381512615
73,-322.9346603860806
74,-64.45703577852692
75,-259.5784113186928
76,-98.73784768033693
77,-193.94295286587862
78,-176.35098249078374
79,-43.22573055868497
80,-65.93957911831058
81,-74.94857846360901
82,-28.81545507043643
83,-209.93839162568338
84,-122.89390518272421
85,-255.47494432131066
86,-144.69370864856387
87,-133.14829239831056
88,-404.3404297373369
89,-240.90316066269293
90,-111.24155338308378
91,-139.3456945933467
92,-76.34380474534078
93,-154.33627994825838
94,-193.4571308481677
95,-71.56015469262934
96,-152.34356297427144
97,-147.85200811441337
98,-100.23036002592471
99,-96.29828756148777
100,-9.580269239149175
