sample_idx,marginal_diff
1,-20.763309032218785
2,-37.14504804348803
3,-345.2655067178391
4,3.9893243570527375
5,-202.7962353256844
6,-250.52917561188565
7,-19.149980399264905
8,-656.840235097099
9,-344.5112695459752
10,-237.19947301726484
11,-61.22776515099122
12,-68.74174873762104
13,-3.9387501823910043
14,-966.5132401086853
15,-74.25799195479271
16,-30.100665240035823
17,-64.54116296992424
18,-155.0992874542551
19,-190.0956635369023
20,-268.3298401054308
21,-210.76327914189073
22,-162.33654049031884
23,-899.2786071703057
24,-281.3218639902302
25,-23.727558880449806
26,-317.58751572614324
27,-30.717733922089792
28,-105.90796071933278
29,-8.260249993163825
30,-64.0419543597593
31,-131.82521477730575
32,-171.88507449050076
33,-65.05291122019617
34,-60.312267591022646
35,-140.2217290510407
36,-28.443428280656917
37,-77.5541884316026
38,-298.2238001354199
39,-170.1330504914181
40,-13.087188559879678
41,-39.148430848287035
42,-233.00276584660878
43,-288.347683467407
44,-307.6664277920411
45,-24.94865619955408
46,-232.03116426696442
47,-175.39805956159444
48,-124.41285032917472
49,-127.59248659976652
50,-135.58309003094405
51,-190.14936795693393
52,-177.92034154197336
53,-8.856848168501529
54,-10.175046136614583
55,-13.257355204611258
56,-90.34868740664456
57,-38.7711116869923
58,-219.46371373941315
59,-30.26278525543694
60,-19.00800828100705
61,-33.54610124223768
62,-263.4760735443856
63,-384.8605001475273
64,-607.1550249719127
65,-305.15257051240405
66,-37.22303472045451
67,-139.0023153979937
68,-191.23138522199633
69,-254.8790516039312
70,-265.10159200949784
71,-239.3503299654842
72,-314.5654194297522
73,-11.535886505684175
74,-462.428054668678
75,-445.23354507112776
76,-12.93628501168655
77,-80.82021172587565
78,-32.46332859558629
79,-15.839000906839601
80,-160.47148857411116
81,-151.90914043266525
82,-242.2239350233749
83,-17.63236919089627
84,-187.66788682959782
85,-403.48342609752467
86,-77.58630910350416
87,-668.9237019010861
88,-382.47936188210906
89,-147.60875066090534
90,-192.35516033165118
91,-214.52020512288163
92,-280.38596573456584
93,-44.195270183133516
94,-283.9613227460286
95,-20.2097236779166
96,-308.585869158052
97,-142.8262356475159
98,-3.5405395212792428
99,-45.18241418809271
100,-184.72282824795707
