sample_idx,marginal_diff
1,-300.97513919675384
2,-237.27092238930413
3,-24.094657325227217
4,-640.0979056422061
5,-109.66354755776615
6,-4.244216325246725
7,-259.404070856177
8,-271.74542781942455
9,-748.6097121281971
10,-80.79952082784189
11,-281.36794512277515
12,-76.65220454490759
13,15.230164091295137
14,-513.4078853342958
15,-308.5863866672398
16,-56.132487732270874
17,-31.799976023533645
18,-149.49665449999634
19,-12.344615571870463
20,-363.53619419673487
21,-36.10587475184707
22,-17.471473207144754
23,-19.031222828768477
24,-46.38095192525657
25,-219.3287713340119
26,-51.02128336410101
27,-126.49930707236217
28,-35.77927003745458
29,-157.19614621963228
30,-332.101716261491
31,-155.06396799643312
32,-387.95326115133594
33,-132.12311093312428
34,-20.25843521681054
35,-55.358992303182276
36,-767.5963665770319
37,-155.737898874738
38,-108.98483316419583
39,-57.630789457844685
40,-191.1472476608535
41,-351.05607506180195
42,-67.21497260406545
43,-327.8028827209805
44,-573.1479200411727
45,-183.04004780534342
46,-9.532741321899039
47,-27.92122381466811
48,-384.05531114178325
49,-438.9975150672449
50,-491.2099322809837
51,-343.2100803569092
52,-242.95428220697545
53,-153.15225990086174
54,-653.8525156688388
55,-121.0324722186756
56,-20.91795009755856
57,-8.459570607379192
58,-180.2475469063811
59,-32.779263242897514
60,-152.43236027868124
61,-99.2208094148325
62,-430.7277174993221
63,-820.2820595481755
64,-28.26118071525707
65,-52.945456085910564
66,-24.018174494975938
67,-400.17348020949953
68,-86.08310318334816
69,-159.6475704490117
70,-241.36555632315526
71,-52.90172089384055
72,-465.64458695864846
73,-397.1370697444879
74,-171.80639968772948
75,-168.39105826124592
76,-153.88343911655966
77,-48.49680837551682
78,-58.033723648932664
79,-483.41594305433046
80,-23.22097473949384
81,-434.80933982091915
82,-401.97476581153194
83,-152.11913415095933
84,-560.6275089612094
85,-98.99677732050213
86,-46.75118042888653
87,-152.3653802912695
88,-562.7830254332117
89,-120.80130172726763
90,-190.22449606112718
91,-531.2898395276347
92,-74.12534577532483
93,-646.6665201797039
94,-310.3516437596563
95,-25.894537733783636
96,-263.44079833741444
97,-23.762411506217177
98,-238.0592466791736
99,-424.34616168967375
100,-269.9295522403936
