sample_idx,marginal_diff
1,-87.74591820871115
2,-37.302859213425336
3,-35.40937244378529
4,-63.07668405603545
5,-30.5913478419875
6,-76.31169159936667
7,-44.76886028529157
8,-20.68201565745676
9,-47.12236677849228
10,-63.91851763361956
11,-51.752925678283646
12,-47.41486191275976
13,-38.02252296303277
14,-26.631775959459446
15,-86.85313254219227
16,-18.767662710816467
17,-24.443635430274526
18,-46.54100790270081
19,-39.28909578580897
20,-33.667528200576726
21,-79.21201207856939
22,-15.516216117753629
23,-14.132239976930805
24,-34.015780751876946
25,-49.040135774175724
26,-42.1366959535826
27,-47.535144855355156
28,-53.7488682957046
29,-17.928647611145152
30,-23.46436135461795
31,-40.296054307282475
32,-25.69228197279881
33,-11.051675388567219
34,-14.0316533513394
35,-24.624991292564346
36,-40.54011477458562
37,-27.071419496532826
38,-69.00181603677152
39,-62.62216718832292
40,-31.015603856180405
41,-29.721543008768776
42,-36.49890850594147
43,-64.69776452781662
44,-24.145060817635795
45,-49.950138811661645
46,-14.957184022209503
47,-21.494617154083016
48,-68.90842123718426
49,-49.05168700395075
50,-28.306882733335897
51,-62.94545348301381
52,-32.58593592058833
53,-55.44778714343306
54,-47.1698840773272
55,-33.38047516582378
56,-26.019857195819668
57,-44.22920197746589
58,-28.71265186090659
59,-26.47264507359
60,-39.57104707054077
61,-16.752331130187486
62,-42.848892400170826
63,-75.45367608332663
64,-62.33872710495939
65,-52.3360833547481
66,-60.6352537907253
67,-26.098364186868594
68,-61.352394718030155
69,-63.68718560946127
70,-38.258145459398975
71,-29.179303977012523
72,-37.55962819906972
73,-28.796777308099763
74,-46.82645924072858
75,-22.599580187333686
76,-33.586727910116224
77,-49.43510988760386
78,-45.578741564967004
79,-57.141617405544366
80,-62.442281469130876
81,-78.35361087997853
82,-34.28047549346525
83,-31.642390929953308
84,-43.33876551360436
85,-33.09116592827536
86,-68.44639400531923
87,-45.654156733805394
88,-37.85841794349062
89,-23.971840168304652
90,-48.08924722499273
91,-20.114984360450308
92,-41.06425608442714
93,-55.346562281508795
94,-36.646719266812624
95,-32.59924287302874
96,-69.7637853935837
97,-25.060991502899924
98,-53.144465235564894
99,-56.30497188742288
100,-29.154704223361477
